file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,4
style.css,2,css,5e9f98cd,AdaMo22805,2025-01-16,15:48:52,-08:00,2025-01-16T15:48:52-08:00,0,23
style.css,3,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,33
style.css,4,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,5,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,5
style.css,6,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,44
style.css,7,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,43
style.css,8,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,1
style.css,9,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,24
style.css,10,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,16
style.css,11,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,12
style.css,12,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,13
style.css,13,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,14,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,18
style.css,15,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,18
style.css,16,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,9
style.css,17,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,11
style.css,18,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,14
style.css,19,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,6
style.css,20,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,13
style.css,21,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,0
style.css,22,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,0
style.css,23,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,0
style.css,24,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,3
style.css,25,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,13
style.css,26,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,19
style.css,27,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,24
style.css,28,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,26
style.css,29,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,40
style.css,30,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,40
style.css,31,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,1
style.css,32,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,7
style.css,33,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,21
style.css,34,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,14
style.css,35,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,18
style.css,36,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,14
style.css,37,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,38,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,9
style.css,39,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,26
style.css,40,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,26
style.css,41,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,40
style.css,42,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,19
style.css,43,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,44,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,7
style.css,45,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,24
style.css,46,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,26
style.css,47,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,64
style.css,48,css,d1e89e68,AdaMo22805,2025-01-23,22:25:21,-08:00,2025-01-23T22:25:21-08:00,0,63
style.css,49,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,50,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,51,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,0
style.css,52,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,4
style.css,53,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,13
style.css,54,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,31
style.css,55,css,8ea92094,AdaMo22805,2025-01-16,15:49:42,-08:00,2025-01-16T15:49:42-08:00,0,8
style.css,56,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,0
style.css,57,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,5
style.css,58,css,8ea92094,AdaMo22805,2025-01-16,15:49:42,-08:00,2025-01-16T15:49:42-08:00,0,13
style.css,59,css,8ea92094,AdaMo22805,2025-01-16,15:49:42,-08:00,2025-01-16T15:49:42-08:00,0,30
style.css,60,css,8ea92094,AdaMo22805,2025-01-16,15:49:42,-08:00,2025-01-16T15:49:42-08:00,0,19
style.css,61,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,5
style.css,62,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,12
style.css,63,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,0
style.css,64,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,8
style.css,65,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,12
style.css,66,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,0
style.css,67,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,0
style.css,68,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,6
style.css,69,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,12
style.css,70,css,8ea92094,AdaMo22805,2025-01-16,15:49:42,-08:00,2025-01-16T15:49:42-08:00,0,19
style.css,71,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,0
style.css,72,css,35792f10,AdaMo22805,2025-01-16,00:17:22,-08:00,2025-01-16T00:17:22-08:00,0,0
style.css,73,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,74,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,2
style.css,75,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,15
style.css,76,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,77,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,0
style.css,78,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,17
style.css,79,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,16
style.css,80,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,18
style.css,81,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,82,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,83,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,84,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,9
style.css,85,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,13
style.css,86,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,59
style.css,87,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,15
style.css,88,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,14
style.css,89,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,8
style.css,90,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,91,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,13
style.css,92,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,27
style.css,93,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,16
style.css,94,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,2
style.css,95,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,9
style.css,96,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,97,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,6
style.css,98,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,9
style.css,99,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,100,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,24
style.css,101,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,35
style.css,102,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,15
style.css,103,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,104,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,105,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,106,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,107,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,108,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,12
style.css,109,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,2
